Partition,nCategories,H_C,H_Sgrid,I_C_Sgrid,I_C_Y,I_C_A,H_Y_given_C,H_A_given_C,NMI_C_Y,Q_Y,Q_A
Identity,3,1.5838265427793,6.31605414233187,1.57272788373325,1.5838265427793,0.912524633541532,2.22044604925031e-16,1.11022302462516e-16,1,1.26706123422344,0.595759324985671
Action,2,0.912524633541532,6.31605414233187,0.902935749499802,0.912524633541532,0.912524633541532,0.671301909237772,1.11022302462516e-16,0.576151875785735,0.730019706833225,0.730019706833225
Geometric,3,1.58382299320775,6.31605414233187,1.57575502752319,1.55041896199221,0.888026426170757,0.0334075807870968,0.0244982073707751,0.978907045762427,1.23365436335066,0.571261827529207
Nuisance,3,1.58496250072116,6.31605414233187,0.390659847996864,0.000772713461460487,0.000678527661828903,1.58305382931784,0.911846105879703,0.000487877580397489,-0.316219786682771,-0.316313972482402
Random,3,1.58481219100932,6.31605414233187,0.081191748515878,0.000587108032785969,0.000178087884783364,1.58323943474652,0.912346545656749,0.000370689603266599,-0.316375330169077,-0.31678435031708
One category,1,-0,6.31605414233187,-6.5269815015229e-16,0,0,1.5838265427793,0.912524633541532,0,0,0
