Partition,nCategories,H_C,I_C_Ysub,I_C_Ybasic,I_C_A,NMI_Ysub,NMI_Ybasic,NMI_A
Subordinate,6,2.58403274676482,2.58403274676482,1.5844489446181,0.929779856164569,1,1,1
Basic,3,1.5844489446181,1.5844489446181,1.5844489446181,0.929779856164569,0.613169065524348,1,1
Action,2,0.929779856164569,0.929779856164569,0.929779856164569,0.929779856164569,0.359817365832009,0.586815914342178,1
Geometry,3,1.5844489446181,1.5844489446181,1.5844489446181,0.929779856164569,0.613169065524348,1,1
Random,6,2.58392114195027,0.00757420093644474,0.00286431604479697,0.000879084985125201,0.00293115516663926,0.00180776796533974,0.000945476479509366
One category,1,-0,0,0,0,0,0,0
