Partition,I_C_Y,I_C_A,I_C_V,I_C_G,NMI_Y,NMI_A,NMI_V,NMI_G
Identity,1.5838265427793,0.912524633541532,0.000772713461460487,1.55041896199221,1,1,0.000487527913820613,0.978909239631703
Action,0.912524633541532,0.912524633541532,0.000678527661828902,0.888026426170757,0.576151875785735,1,0.000428103290469127,0.560685398544579
Geometric,1.55041896199221,0.888026426170757,0.000744613467858243,1.58382299320775,0.978907045762427,0.97315337419912,0.00046979879178179,1
Nuisance,0.000772713461460487,0.000678527661828903,1.58496250072116,0.000744613467858244,0.000487877580397489,0.000743571884953417,1,0.00047013679625282
Random,0.000587108032785969,0.000178087884783364,0.000916756268539888,0.000497765149061133,0.000370689603266599,0.000195159536781161,0.00057840880659496,0.000314280794757878
One category,0,0,0,0,0,0,0,0
