Scenario,ScenarioDisplay,Network,Layer,LayerIndex,K,H_C,NImages,NPC,H_Ysub,I_C_Ysub,H_Ysub_given_C,NMI_Ysub,H_Ybasic,I_C_Ybasic,H_Ybasic_given_C,NMI_Ybasic,H_A,I_C_A,H_A_given_C,NMI_A,H_V,I_C_V,H_V_given_C,NMI_V
pooled_variants,Pooled nuisance run,resnet50,activation_1_relu,1,2,0.987648584031073,3000,30,3.32192809488736,0.11247775273032,3.20945034215704,0.0338591774167026,0.970950594454669,0.0793594789835549,0.891591115471114,0.0817337972053324,1.15677964944704,0.0579602246075318,1.09881942483951,0.050104810051973,1.99946005438043,0.000217569248794447,1.99924248513163,0.000108814001218877
pooled_variants,Pooled nuisance run,resnet50,activation_1_relu,1,3,1.52716817642784,3000,30,3.32192809488736,0.178274720589997,3.14365337429736,0.0536660383662044,0.970950594454669,0.137923019132494,0.833027575322175,0.142049471847698,1.15677964944704,0.0824232619555137,1.07435638749153,0.0712523443811563,1.99946005438043,0.00122713907483901,1.99823291530559,0.00061373522924381
pooled_variants,Pooled nuisance run,resnet50,activation_1_relu,1,4,1.89203659069796,3000,30,3.32192809488736,0.202354549484239,3.11957354540312,0.0609147891538272,0.970950594454669,0.141190511301991,0.829760083152677,0.145414722549596,1.15677964944704,0.0977650276418146,1.05901462180522,0.0845148232755892,1.99946005438043,0.00165271050373374,1.9978073438767,0.000826578405561528
pooled_variants,Pooled nuisance run,resnet50,activation_1_relu,1,10,3.06434620296306,3000,30,3.32192809488736,0.343443472146283,2.97848462274108,0.103386786931018,0.970950594454669,0.198958162765319,0.771992431689349,0.204910696694164,1.15677964944704,0.145166563715502,1.01161308573154,0.125491975749136,1.99946005438043,0.00687891997559891,1.99258113440483,0.00344038879923034
pooled_variants,Pooled nuisance run,resnet50,activation_10_relu,2,2,0.945684767038853,3000,30,3.32192809488736,0.00640053782552296,3.31552755706184,0.00192675387386432,0.970950594454669,0.000792438336987587,0.970158156117681,0.000816146919846789,1.15677964944704,0.00494812321073444,1.15183152623631,0.00427749849601843,1.99946005438043,0.696056946027666,1.30340310835276,0.348122456611594
pooled_variants,Pooled nuisance run,resnet50,activation_10_relu,2,3,1.55284411788323,3000,30,3.32192809488736,0.00916092802687165,3.31276716686049,0.00275771412420722,0.970950594454669,0.00208732530762127,0.968863269147047,0.00214977499323084,1.15677964944704,0.00584401117707366,1.15093563826997,0.00505196575671711,1.99946005438043,1.28484711892912,0.714612935451313,0.642597043193869
pooled_variants,Pooled nuisance run,resnet50,activation_10_relu,2,4,1.99298791098759,3000,30,3.32192809488736,0.011800446967347,3.31012764792002,0.00355228849941352,0.970950594454669,0.000854726196582955,0.970095868258086,0.000880298340064367,1.15677964944704,0.00768921063170626,1.14909043881533,0.00664708324993601,1.99946005438043,1.83279987181718,0.166660182563245,0.916647405784314
pooled_variants,Pooled nuisance run,resnet50,activation_10_relu,2,10,3.23920535556064,3000,30,3.32192809488736,0.2210195616278,3.10090853325956,0.0665335176784715,0.970950594454669,0.137937761244186,0.833012833210482,0.142064655021565,1.15677964944704,0.0996759467444865,1.05710370270255,0.0861667533588902,1.99946005438043,1.81812657948377,0.181333474896663,0.909308778387747
pooled_variants,Pooled nuisance run,resnet50,activation_22_relu,3,2,0.807558889148526,3000,30,3.32192809488736,0.000838360601875436,3.32108973428549,0.000252371688347415,0.970950594454669,0.000596624298281922,0.970353970156387,0.000614474414753322,1.15677964944704,0.000343709340171083,1.15643594010687,0.000297126025976842,1.99946005438043,0.790757368204826,1.2087026861756,0.395485454421773
pooled_variants,Pooled nuisance run,resnet50,activation_22_relu,3,3,1.49285844869156,3000,30,3.32192809488736,0.00296345756832723,3.31896463731904,0.00089208961894394,0.970950594454669,0.000597830265239453,0.970352764189429,0.000615716462458342,1.15677964944704,0.000358794451342424,1.1564208549957,0.000310166635031948,1.99946005438043,1.4303902943079,0.569069760072525,0.715388282538676
pooled_variants,Pooled nuisance run,resnet50,activation_22_relu,3,4,1.99658829346968,3000,30,3.32192809488736,0.00781281468212993,3.31411528020523,0.00235189156988506,0.970950594454669,0.000589255243472716,0.970361339211196,0.000606884888724611,1.15677964944704,0.00373041495056825,1.15304923449647,0.00322482760856958,1.99946005438043,1.88740072726965,0.112059327110782,0.943955205874065
pooled_variants,Pooled nuisance run,resnet50,activation_22_relu,3,10,3.22136447664426,3000,30,3.32192809488736,0.302787454980257,3.01914063990711,0.0911481062598146,0.970950594454669,0.175776198696253,0.795174395758415,0.181035162551167,1.15677964944704,0.15154248255645,1.00523716689059,0.131003759124644,1.99946005438043,1.92104146852236,0.0784185858580695,0.96078011876943
